"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3733","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:14:45,FALSE,NA,"1596266165021687810",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiffani",1745,TRUE,FALSE,NA,NA
"3734","when i went to see the eiffel tower i saw rats",FALSE,0,NA,2022-11-25 22:12:01,FALSE,NA,"1596265476694605824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pecotito_",0,FALSE,FALSE,NA,NA
"3735","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:11:58,FALSE,NA,"1596265462488215552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","yrilibek",1745,TRUE,FALSE,NA,NA
"3736","Wish I got a video but Matt leaving in tonight’s I’m A Celeb whilst Eiffel 65 - Blue plays in the background was a… https://t.co/O8ND9t5gvf",FALSE,2,"25hpork",2022-11-25 22:09:17,TRUE,"1596252540248752128","1596264786966482944","1268618555463000065","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","25hpork",0,FALSE,FALSE,NA,NA
"3737","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:08:53,FALSE,NA,"1596264688160997378",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zbasabzs",1745,TRUE,FALSE,NA,NA
"3738","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 22:08:51,FALSE,NA,"1596264681165193216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","fiztig",1745,TRUE,FALSE,NA,NA
"3739","RT @mike27356894: @BeratStuff Is this guy serious? That's not the Eiffel Tower, that's just a Transmission tower. They're used to carry pow…",FALSE,0,NA,2022-11-25 22:06:59,FALSE,NA,"1596264210761412609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WockySlushie",30,TRUE,FALSE,NA,NA
"3740","RT @mike27356894: @BeratStuff Is this guy serious? That's not the Eiffel Tower, that's just a Transmission tower. They're used to carry pow…",FALSE,0,NA,2022-11-25 22:05:31,FALSE,NA,"1596263842840838144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PassTheBoof69_0",30,TRUE,FALSE,NA,NA
"3741","RT @LEGO_Group: Now all you need is a croissant and a BIG cup of coffee ☕️🥐
https://t.co/U6O7vkxQB4 https://t.co/UjZVIqA9lb",FALSE,0,NA,2022-11-25 22:05:18,FALSE,NA,"1596263788541607942",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Budjette",147,TRUE,FALSE,NA,NA
"3742","RT @gorylestat: i finally understand the eiffel tower joke and i also want that for myself with jam reiderson https://t.co/p60UjJ8kwx",FALSE,0,NA,2022-11-25 22:04:50,FALSE,NA,"1596263670623133697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meirinasoe",12,TRUE,FALSE,NA,NA
